2024-07-09T05:55:06.467Z FIND Found epoch range to explore:  636 640
2024-07-09T05:55:06.469Z FIND Found delinquent validators [ 'C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM' ]
2024-07-09T05:55:06.470Z FIND Found reference validator CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB
2024-07-09T05:55:09.108Z STAKES Found:  103  accounts for delinquent validator C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM
2024-07-09T05:55:09.108Z STAKES Stake account 7zDNdbDYSihmCWhG79r3twqyH7uoYSpvC6A4HRC7DwAs is de-activating:  0.011940256
2024-07-09T05:55:09.108Z STAKES Stake account 9idpsqc8LJWpv6aPWxe9RKW2K2hrbkTJXByyZHHo1gtK is de-activated:  0.002282881
2024-07-09T05:55:09.108Z STAKES Stake account 8gzEozXiPrSTa2i4ZQo6aXJEfYRFekNDznBz3sJ2y6Tj is de-activating:  1.014529722
2024-07-09T05:55:09.109Z STAKES Stake account 25JQ914xBmz7oLgq9iynxzBTxGjpoJKpQue11ggb4Baj is de-activating:  0.016278113
2024-07-09T05:55:09.109Z STAKES Stake account FRBLLZUZM9Kg4WUVxWg7GP7aKHCgcNfW59EkB1EfGXt8 is de-activating:  10.461549662
2024-07-09T05:55:09.109Z STAKES Stake account HggEzJokJUYo1g2k9wFy4Kcyo3LrqNWYPxrYemjV5ReJ is de-activating:  0.003007547
2024-07-09T05:55:09.109Z STAKES Stake account EdV6UiEDvdDXGtRtApLLX8pSPr4NMN5zfnmZkRoijoPJ is de-activating:  1.014948232
2024-07-09T05:55:09.110Z STAKES Stake account 2w5GzeCxRm3Q1Y4ztXpJGFp3wETFHNXi3HBZimiNyRH1 is de-activating:  1.014529722
2024-07-09T05:55:09.110Z STAKES Stake account G4kDNJkvtXa38e4rpw3NWbcW3ASmiWy16AiD8sCj5S6S is de-activated:  1.014529722
2024-07-09T05:55:09.110Z STAKES Stake account D5PHpu4G7F3qarDza2bmAAybbZmsTwWvTJpCrPR8wx76 is de-activating:  1.994565371
2024-07-09T05:55:09.110Z STAKES Stake account 7Y7NnU22dsWJZKrsTR9U8U1dswqAMRkPcgJuDS3XrGRR is de-activating:  3.186023177
2024-07-09T05:55:09.110Z STAKES Stake account FEw4duWFuyFR36Y45GxRKBEXo2X1563D1TuUxjLW81kF is de-activating:  0.003383283
2024-07-09T05:55:09.111Z STAKES Stake account 6F1FhrRte7HaLGDjb8wHdph6xfv64x7s2b8w92ffZLsp is de-activating:  3.093332106
2024-07-09T05:55:09.111Z STAKES Stake account 8fGGPkbr8Sa9JBqLXHGtJvEA4rGH4VMtLi2dZUEG9LDh is de-activating:  1.014529722
2024-07-09T05:55:09.111Z STAKES Stake account 2S8XSAmRCmGRkpHp6E5exGh86Qk9ERDkGZAuPLbepBo9 is de-activating:  1.014529722
2024-07-09T05:55:09.111Z STAKES Stake account 2BcrUatLbQ1FtkHEucWB1C4tHT9r8JatUYn1uR5Bfskv is de-activating:  0.106497216
2024-07-09T05:55:09.111Z STAKES Stake account 72KRAHx86rkjCjfVffGiP36sFLSgqYuvFdLYxQbiSjjv is de-activated:  2.641147697
2024-07-09T05:55:09.111Z STAKES Stake account 4GD6wooGR4x1kb3pqKLNtJuoVYEytZajpJsBsGVcf4pY is de-activating:  0.040960554
2024-07-09T05:55:09.112Z STAKES Stake account 6RKEtCo2bqJxjxRHVBjEjLz36CUXsRAmVQNBUW8yKseK is de-activating:  0.022501468
2024-07-09T05:55:09.112Z STAKES Stake account 4i3Cwk7kpfWJy14wtKrPEfVpYn52k94vybtBLfSd124f is de-activating:  3.186036433
2024-07-09T05:55:09.112Z STAKES Stake account 71iv5Q1svJg5znspA99JSgAZCrbAYWZeuPximAuYKtHx is de-activating:  10.893073707
2024-07-09T05:55:09.112Z STAKES Stake account EXrh9eNQRFSadLne85y1jQVmWGG9vad4kJSXTyru5rue is de-activated:  0.002282881
2024-07-09T05:55:09.112Z STAKES Stake account 4yPdRSnuiiYjHg9hkju8aebdYfFaetGqoT5ShvQu2fAc is de-activating:  1.994565323
2024-07-09T05:55:09.112Z STAKES Stake account 4hGVTph2Pvncs1LBkBjxrWR7L3FSxrgJ5NSXXwotK45L is de-activating:  1.014529722
2024-07-09T05:55:09.112Z STAKES Stake account 6iHqTwxQz75ESsVQP1MzMVWWFXgZ9xCtuvXB1EhZ6djQ is de-activating:  3.09333651
2024-07-09T05:55:09.113Z STAKES Stake account CMb3hh1brc8DNi62zSLAiDu7xERLLqM6npSNSinuXKu1 is de-activating:  1.014948232
2024-07-09T05:55:09.113Z STAKES Stake account LRoV6Y779BrhtzYXTtV29zUFAwd9fVbHx7793gKhLZp is de-activated:  0.050266686
2024-07-09T05:55:09.113Z STAKES Stake account 3nxbmZqXFYiDEp9xHyx46rHxMcc3Z2YqvU5KMdXeCF5n is de-activating:  1.014529722
2024-07-09T05:55:09.113Z STAKES Stake account HGt4qw2RVpLz3BkNwSTXpzVtfmsHukppRP8tD6hR2Wvb is de-activating:  1.208345452
2024-07-09T05:55:09.113Z STAKES Stake account 8bisa5BU9RQRLqnPBwQWcdUqAKv2EcSqLSVtDhFUQGqW is de-activating:  3.336173373
2024-07-09T05:55:09.113Z STAKES Stake account Gn2jXu2scMiyDhRSQCxUTSYb8EgdM4cF99afZSGZ8g2X is de-activating:  1.014529722
2024-07-09T05:55:09.113Z STAKES Stake account 4YuMZBWDNz68ccFtrs5LMnPz6g9uhwaYz59vYiYSnt7s is de-activating:  3.336375177
2024-07-09T05:55:09.114Z STAKES Stake account AnEEvHCZgcxyMKbMciRtwetjpKm2JzReH45qEo772HCf is de-activating:  3.18602202
2024-07-09T05:55:09.114Z STAKES Stake account 5QToZG21AEHuum6FmvgPLdt52znD4G4uz8tHtKe5ff8Z is de-activating:  1.014529722
2024-07-09T05:55:09.114Z STAKES Stake account HNpoPjpmAA4fzFcgoupeyPz6UcmhQFtkLfTxNBSLC35E is de-activating:  1.014529722
2024-07-09T05:55:09.114Z STAKES Stake account BdzwrpfKZdtux2GRKWBsan1RwUZTWuYNQmJzW9FV9cH9 is de-activated:  0.002302226
2024-07-09T05:55:09.114Z STAKES Stake account 47sgXWfW5hr3W6yFbWumMzsv3mbaWAKx1PhBij8So3by is de-activating:  0.010038759
2024-07-09T05:55:09.114Z STAKES Stake account 2x1vRgKReKEm1BfUo5zzK5dVSD4ZY7uNFH5CVWhqUN1N is de-activating:  9.514590559
2024-07-09T05:55:09.114Z STAKES Stake account 6WUD3UEFfLww9aEMmMsmCpVKR33hYPmGsekraEyyiuiW is de-activating:  1.014529722
2024-07-09T05:55:09.115Z STAKES Stake account 245BDHAXXzKLdcYAFfyQWSnU2unjfmb1bYZNCukHVyFd is de-activating:  3.336176735
